patron,drink,executionTime,queueLevel,arrivalTime,serviceStartTime,completionTime,waitingTime,turnaroundTime,responseTime
8,Pina Colada,100,0,1779016456240,1779016456240,1779016456345,0,105,0
7,Gin and Tonic,40,0,1779016456277,1779016456352,1779016456397,75,120,75
7,Gin and Tonic,40,0,1779016456512,1779016456512,1779016456556,0,44,0
7,B52,200,0,1779016456671,1779016456671,1779016456873,0,202,0
9,White Wine,25,0,1779016457242,1779016457242,1779016457272,0,30,0
9,White Wine,25,0,1779016457428,1779016457428,1779016457456,0,28,0
9,Cider,25,0,1779016457612,1779016457612,1779016457642,0,30,0
9,Mojito,75,0,1779016457748,1779016457748,1779016457827,0,79,0
9,Pina Colada,100,0,1779016457942,1779016457942,1779016458047,0,105,0
9,Bloody Mary,70,0,1779016458173,1779016458173,1779016458248,0,75,0
9,Draft Beer,50,0,1779016458404,1779016458404,1779016458456,0,52,0
0,Red Wine,25,0,1779016481924,1779016481925,1779016481952,1,28,1
0,Vodka shot,20,0,1779016482107,1779016482107,1779016482132,0,25,0
0,Bloody Mary,70,0,1779016482136,1779016482138,1779016482213,2,77,2
1,Vodka shot,20,0,1779016482194,1779016482220,1779016482245,26,51,26
2,Mojito,75,0,1779016482481,1779016482481,1779016482561,0,80,0
2,Martini,60,0,1779016482676,1779016482676,1779016482738,0,62,0
2,Gin and Tonic,40,0,1779016482853,1779016482853,1779016482898,0,45,0
2,Margarita,75,0,1779016483011,1779016483011,1779016483091,0,80,0
2,Martini,60,0,1779016483176,1779016483176,1779016483239,0,63,0
2,Tequila shot,20,0,1779016483354,1779016483354,1779016483379,0,25,0
2,Cosmopolitan,65,0,1779016483383,1779016483386,1779016483452,3,69,3
3,White Wine,25,0,1779016483429,1779016483458,1779016483489,29,60,29
2,Beer,25,0,1779016483506,1779016483507,1779016483537,1,31,1
4,Beer,25,0,1779016483516,1779016483543,1779016483572,27,56,27
5,Pina Colada,100,0,1779016483551,1779016483578,1779016483682,27,131,27
3,Cider,25,0,1779016483642,1779016483688,1779016483718,46,76,46
6,Mojito,75,0,1779016483688,1779016483725,1779016483802,37,114,37
5,Red Wine,25,0,1779016483807,1779016483808,1779016483838,1,31,1
3,Cider,25,0,1779016483822,1779016483845,1779016483872,23,50,23
6,Tequila shot,20,0,1779016483917,1779016483917,1779016483942,0,25,0
6,Cider,25,0,1779016483946,1779016483948,1779016483977,2,31,2
3,Vodka shot,20,0,1779016483977,1779016483983,1779016484008,6,31,6
7,Martini,60,0,1779016483992,1779016484014,1779016484080,22,88,22
3,Bloody Mary,70,0,1779016484012,1779016484087,1779016484159,75,147,75
